Product_ID,Product_Name,Category,Product_Description
1,Product_1,Electronics,"BrandX SuperWidget 2000 - High Performance, 32GB RAM, 256GB SSD"
2,Product_2,Electronics,"BrandY MegaPhone Pro - Lightweight, 128GB Storage, 6GB RAM"
3,Product_3,Electronics,"BrandZ PowerTablet - 16GB Storage, 2GB RAM, 10-inch display"
4,Product_4,Electronics,"BrandA UltraCamera - Professional, 64MP, 4K Video, 128GB Storage"
5,Product_5,Electronics,"BrandB SmartWatch 3 - GPS, Heart Rate Monitor, 16GB Storage"
6,Product_6,Electronics,"BrandC LightLaptop 2023 - 8GB RAM, 512GB SSD, Touchscreen"
7,Product_7,Electronics,"BrandD EcoVacuum Pro - 1200W, Cordless, Long Battery Life"
8,Product_8,Electronics,"BrandE SoundMax Speaker - Wireless, 20W Output, Bluetooth"
9,Product_9,Clothing,"BrandF ActiveRunner Shoes - Lightweight, Waterproof, Breathable"
10,Product_10,Clothing,"BrandG TravelBackpack - 40L, Water-Resistant, Padded Straps"
11,Product_11,Clothing,"BrandH YogaMat Pro - Non-slip, Eco-Friendly, 5mm Thickness"
12,Product_12,Clothing,"BrandI RunningShoes - Shock Absorbing, Comfortable Fit"
13,Product_13,Electronics,"BrandJ ActionCamera X - 4K Video, Waterproof, 64GB Storage"
14,Product_14,Furniture,"BrandK OfficeDesk 2024 - Ergonomic, Adjustable Height, 150x70cm"
15,Product_15,Furniture,"BrandL ChairMaster - Lumbar Support, Swivel, Adjustable Height"
16,Product_16,Electronics,"BrandM GamingLaptop - 16GB RAM, 1TB SSD, RGB Keyboard"
17,Product_17,Electronics,"BrandN UltraMonitor - 27"", 144Hz, 4K UHD, 1ms Response Time"
18,Product_18,Electronics,"BrandO PowerBank 10000mAh - Fast Charging, Dual USB Ports"
19,Product_19,Electronics,"BrandP BluetoothHeadset - Noise Cancelling, Long Battery Life"
20,Product_20,Clothing,"BrandQ HikingBoots - Waterproof, Durable, Ankle Support"
21,Product_21,Electronics,"BrandR SportsWatch - GPS, Heart Rate Monitor, 32GB Storage"
22,Product_22,Electronics,"BrandS LaptopStand Pro - Adjustable, Lightweight, Portable"
23,Product_23,Electronics,"BrandT WirelessMouse - Ergonomic Design, 3 Buttons, Bluetooth"
24,Product_24,Electronics,"BrandU FitnessBand - Step Counter, Sleep Monitor, Bluetooth"
25,Product_25,Clothing,"BrandV SmartLight - Color Changing, WiFi Enabled, 12W LED"
26,Product_26,Clothing,"BrandW BikeHelmet - Lightweight, Aerodynamic, 5 Air Vents"
27,Product_27,Clothing,"BrandX PortableGrill - Foldable, Charcoal, Stainless Steel"
28,Product_28,Electronics,"BrandY HikingBackpack - 50L, Waterproof, Multiple Pockets"
29,Product_29,Clothing,"BrandZ FitnessMat - Non-slip, 10mm Thickness, Eco-Friendly"
30,Product_30,Electronics,"BrandA UltraMonitor - 32"", 120Hz, QHD, 5ms Response Time"
