Name,Year of release,Aired Date,Aired On,Number of Episode,Network,Duration,Content Rating,Synopsis,Cast,Genre,Tags,Rank,Rating
Move to Heaven,2021,"May 14, 2021", Friday,10,Netflix ,52 min.,18+ Restricted (violence & profanity) ,"Han Geu Roo is an autistic 20-year-old. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family.","Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Shik","Life,  Drama ","Uncle-Nephew Relationship, Autism, Death, Mourning, Tearjerker, Savant Syndrome, Life Lesson, Cleaning And Organizing, Autism Spectrum Disorder, Murder",#1,9.2
Weak Hero Class 1,2022,"Nov 18, 2022", Friday Duration: 40 min. Content Rating: 18+ Restricted (violence & profanity) ,8,None,40 min.,18+ Restricted (violence & profanity) ,"Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school. ","Park Ji Hoon, Choi Hyun Wook, Hong Kyung, Kim Su Gyeom, Lee Yeon, Shin Seung Ho","Action,  Youth,  Drama ","Violence, Friendship, Bromance, School Bullying, High School, Skilled Fighter, Adapted From A Webtoon, Fight, Gang, Smart Male Lead",#2,9.1
Hospital Playlist Season 2,2021,"Jun 17, 2021 - Sep 16, 2021", Thursday,12,"Netflix,  tvN ",1 hr. 40 min.,15+ - Teens 15 or older ,"Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.","Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","Romance,  Life,  Drama,  Medical ","Multiple Mains, Band, Music, Multiple Couples, Comedy, Illness, Strong Female Lead, Bromance, Divorced Male Lead, Long Distance Relationship",#3,9.1
Flower of Evil,2020,"Jul 29, 2020 - Sep 23, 2020"," Wednesday, Thursday",16,tvN ,1 hr. 10 min.,15+ - Teens 15 or older ,"Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hee Sung’s behavior and begins to wonder if he could possibly be hiding something from her. ","Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyun Woo, Nam Ki Ae, Son Jong Hak","Thriller,  Romance,  Crime,  Melodrama ","Deception, Family Secret, Mystery, Suspense, Hidden Personality, Antisocial Personality Disorder, Investigation, Smart Female Lead, Murder, Hidden Identity",#4,9.1
Hospital Playlist,2020,"Mar 12, 2020 - May 28, 2020", Thursday,12,"Netflix,  tvN ",1 hr. 30 min.,15+ - Teens 15 or older ,"The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets its ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.","Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","Romance,  Life,  Drama,  Medical ","Multiple Mains, Slow Romance, Multiple Couples, Friendship, Bromance, Heartfelt, Slight Romance, Strong Female Lead, Healing, Nice Male Lead",#5,9.1
Alchemy of Souls,2022,"Jun 18, 2022 - Aug 28, 2022"," Saturday, Sunday",20,"Netflix,  tvN ",1 hr. 20 min.,15+ - Teens 15 or older ,"Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.","Lee Jae Wook, Jung So Min, Hwang Min Hyun, Shin Seung Ho, Yoo  Joon Sang, Oh Na Ra","Action,  Historical,  Romance,  Fantasy ","Transmigration, Master-Disciple Relationship, Multiple Mains, Hidden Identity, Supernatural, Magical Power, Body Swap, Elemental Power, Strong Female Lead, Fake Identity",#6,9.1
Reply 1988,2015,"Nov  6, 2015 - Jan 16, 2016"," Friday, Saturday",20,tvN ,1 hr. 35 min.,15+ - Teens 15 or older ,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight. Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives? ","Lee Hye Ri, Go Kyung Pyo, Ryu Joon Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il","Comedy,  Romance,  Life,  Youth ","Nostalgia, Multiple Couples, Poor Family, Love Triangle, Heartfelt, High School, Friendship, Mother-Son Relationship, Coming Of Age, Bromance",#7,9.1
My Mister,2018,"Mar 21, 2018 - May 17, 2018"," Wednesday, Thursday",16,tvN ,1 hr. 17 min.,15+ - Teens 15 or older ,"Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is secretly having an affair with CEO Do Joon Yeong, his current boss and college junior.","Lee Sun Kyun, IU, Park Ho San, Song Sae Byuk, Lee Ji Ah, Kim Young Min","Psychological,  Life,  Drama ","Nice Male Lead, Depression, Healing, Poor Female Lead, Strong Female Lead, Infidelity, Lying, Power Struggle, Deception, Grandma-Granddaughter Relationship",#8,9.0
Under the Queen's Umbrella,2022,"Oct 15, 2022 - Dec  4, 2022"," Saturday, Sunday",16,"Netflix,  tvN ",1 hr. 10 min.,15+ - Teens 15 or older ,"Within the palace exist troublemaking princes who cause nothing but headaches for the royal family and are about to be turned into proper crown princes. Their mother, Im Hwa Ryeong,  is the wife of a great king. But instead of having an aura of elegance and grace, she is a prickly, sensitive, and hot-tempered queen. Once more serene, she changed since people kept pushing her buttons.  She is a queen who sometimes abandons her pride and is even known to swear!  Every day of her life is full of trials, but she withstands them all, for the sake of her children.","Kim Hye Soo, Kim Hae Sook, Choi Won Young, Kim Eui Sung, Moon Sang Min, Ok Ja Yeon","Historical,  Comedy,  Drama,  Political ","Motherhood, Mother-Son Relationship, Palace Setting, Black Comedy, Queen Female Lead, Joseon Dynasty, Royal Family, Royalty, Historical Fiction, Prince Supporting Character",#9,9.0
Prison Playbook,2017,"Nov 22, 2017 - Jan 18, 2018"," Wednesday, Thursday",16,"Netflix,  tvN ",1 hr. 32 min.,15+ - Teens 15 or older ,"Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison. There, he meets his childhood friend and fellow baseball player, Lee Joon Ho, who gave up on baseball after a car accident, but now is a prison guard and one of Je Hyuk's biggest fans. The drama revolves around Je Hyuk's time in prison, as well as the prisoners he meets and events that take place there.","Park Hae Soo, Jung Kyung Ho, Krystal Jung, Im Hwa Young, Ye Soo Jung, Kim Kyung Nam","Comedy,  Crime,  Life,  Drama ","Life Lesson, Bromance, Wrongfully Accused, Strong Male Lead, Slight Romance, Character Development, Murder, Prison Setting, Black Comedy, Baseball",#10,9.0
